DEPOSITE | Acc: 1000000 | Amount: 2000
WITHDRAW | Acc: 1000000 | Amount: 2000
TRANSFER | FromAcc: 1000000 | ToAccount: 1000001 | Amount 500
DEPOSITE | Acc: 1000000 | Amount: 100
DEPOSITE | Acc: 1000000 | Amount: 100
DEPOSITE | Acc: 1000000 | Amount: 100
DEPOSITE | Acc: 1000000 | Amount: 100
DEPOSITE | Acc: 1000000 | Amount: 150
DEPOSITE | Acc: 1000000 | Amount: 150
WITHDRAW | Acc: 1000001 | Amount: 9500
DEPOSITE | Acc: 1000000 | Amount: 150
WITHDRAW | Acc: 1000001 | Amount: 9500
DEPOSITE | Acc: 1000000 | Amount: 200
DEPOSITE | Acc: 1000000 | Amount: 2000
WITHDRAW | Acc: 1000000 | Amount: 2000
WITHDRAW | Acc: 1000000 | Amount: 4500
DEPOSITE | Acc: 1000000 | Amount: 5000
DEPOSITE | Acc: 1000000 | Amount: 10000
WITHDRAW | Acc: 1000000 | Amount: 2000
TRANSFER | FromAcc: 1000000 | ToAccount: 1000001 | Amount 2000
DEPOSITE | Acc: 1000000 | Amount: 3000
WITHDRAW | Acc: 1000000 | Amount: 1000
TRANSFER | FromAcc: 1000001 | ToAccount: 1000000 | Amount 2000
WITHDRAW | Acc: 1000000 | Amount: 4500
WITHDRAW | Acc: 1000000 | Amount: 4500
WITHDRAW | Acc: 588976549 | Amount: 4500
DEPOSITE | Acc: 5864237891 | Amount: 5000
DEPOSITE | Acc: 5864237891 | Amount: 5000
DEPOSITE | Acc: 5864237891 | Amount: 5000
DEPOSITE | Acc: 5864237891 | Amount: 500
DEPOSITE | Acc: 5864237891 | Amount: 500
WITHDRAW | Acc: 5864237891 | Amount: 20000
WITHDRAW | Acc: 5864237891 | Amount: 4500
DEPOSITE | Acc: 5864237891 | Amount: 200
DEPOSITE | Acc: 5864237891 | Amount: 200
DEPOSITE | Acc: 5864237891 | Amount: 200
DEPOSITE | Acc: 5864237891 | Amount: 200
WITHDRAW | Acc: 5864237891 | Amount: 100
WITHDRAW | Acc: 5864237892 | Amount: 100
WITHDRAW | Acc: 5864237892 | Amount: 100
WITHDRAW | Acc: 5864237892 | Amount: 2539
WITHDRAW | Acc: 5864237893 | Amount: 250
TRANSFER | FromAcc: 5864237892 | ToAccount: 5864237893 | Amount 1000
DEPOSITE | Acc: 5864237893 | Amount: 200
DEPOSITE | Acc: 5864237893 | Amount: 200
